Time,Response,Throttling,Cpu%,Requests/30,Memory in MB,Cores,Total_requests/interval,Requests/2s,No of replicas,Memory%
2022-04-18 17:15:06,353 ms,0.144,19.6,1.21,561,0.196,33.0,0.5,2.0,28.1
2022-04-18 17:15:07,353 ms,0.144,19.6,1.24,561,0.196,33.0,0.5,2.0,28.1
2022-04-18 17:15:08,355 ms,0.144,19.6,1.28,561,0.196,33.0,1.0,2.0,28.1
2022-04-18 17:15:09,355 ms,0.144,19.6,1.24,561,0.196,33.0,0.0,2.0,28.1
2022-04-18 17:15:10,355 ms,0.144,19.6,1.28,561,0.196,33.0,0.5,2.0,28.1
2022-04-18 17:15:11,355 ms,0.144,19.6,1.17,561,0.196,33.0,0.0,2.0,28.1
2022-04-18 17:15:12,329 ms,0.144,19.6,1.14,561,0.196,33.0,0.5,2.0,28.1
2022-04-18 17:15:13,329 ms,0.144,19.6,1.17,561,0.196,33.0,0.5,2.0,28.1
2022-04-18 17:15:14,282 ms,0.144,19.6,1.21,561,0.196,33.0,1.0,2.0,28.1
2022-04-18 17:15:15,282 ms,0.247,19.4,1.21,629,0.194,36.0,0.0,2.0,31.5
2022-04-18 17:15:16,283 ms,0.247,19.4,1.1,629,0.194,36.0,0.5,2.0,31.5
2022-04-18 17:15:17,283 ms,0.247,19.4,1.07,629,0.194,36.0,0.0,2.0,31.5
2022-04-18 17:15:18,289 ms,0.247,19.4,1.03,629,0.194,36.0,0.5,2.0,31.5
2022-04-18 17:15:19,289 ms,0.247,19.4,0.897,629,0.194,36.0,0.0,2.0,31.5
2022-04-18 17:15:20,285 ms,0.247,19.4,0.931,629,0.194,36.0,1.0,2.0,31.5
2022-04-18 17:15:21,285 ms,0.247,19.4,0.896,629,0.194,36.0,0.497,2.0,31.5
2022-04-18 17:15:22,262 ms,0.247,19.4,0.897,629,0.194,36.0,0.0,2.0,31.5
2022-04-18 17:15:23,262 ms,0.247,19.4,0.897,629,0.194,36.0,0.5,2.0,31.5
2022-04-18 17:15:24,259 ms,0.247,19.4,0.966,629,0.194,36.0,1.5,2.0,31.5
2022-04-18 17:15:25,259 ms,0.247,19.4,1.0,629,0.194,36.0,0.5,2.0,31.5
2022-04-18 17:15:26,258 ms,0.247,19.4,0.931,629,0.194,36.0,0.0,2.0,31.5
2022-04-18 17:15:27,258 ms,0.247,19.4,0.966,629,0.194,36.0,0.5,2.0,31.5
2022-04-18 17:15:28,258 ms,0.247,19.4,1.0,629,0.194,36.0,0.5,2.0,31.5
2022-04-18 17:15:29,258 ms,0.247,19.4,1.0,629,0.194,36.0,0.5,2.0,31.5
2022-04-18 17:15:30,262 ms,0.247,19.4,1.0,629,0.194,30.0,0.5,2.0,31.5
2022-04-18 17:15:31,262 ms,0.247,19.4,0.931,629,0.194,30.0,0.0,2.0,31.5
2022-04-18 17:15:32,271 ms,0.247,19.4,1.03,629,0.194,30.0,2.0,2.0,31.5
2022-04-18 17:15:33,271 ms,0.247,19.4,1.03,629,0.194,30.0,0.5,2.0,31.5
2022-04-18 17:15:34,276 ms,0.247,19.4,0.966,629,0.194,30.0,0.0,2.0,31.5
2022-04-18 17:15:35,276 ms,0.247,19.4,1.0,629,0.194,30.0,1.0,2.0,31.5
2022-04-18 17:15:36,262 ms,0.247,19.4,1.0,629,0.194,30.0,0.5,2.0,31.5
2022-04-18 17:15:37,262 ms,0.247,19.4,0.931,629,0.194,30.0,0.0,2.0,31.5
2022-04-18 17:15:38,266 ms,0.247,19.4,0.931,629,0.194,30.0,0.0,2.0,31.5
2022-04-18 17:15:39,266 ms,0.247,19.4,0.931,629,0.194,30.0,0.5,2.0,31.5
2022-04-18 17:15:40,279 ms,0.247,19.4,1.03,629,0.194,30.0,1.5,2.0,31.5
2022-04-18 17:15:41,279 ms,0.247,19.4,1.03,629,0.194,30.0,0.5,2.0,31.5
2022-04-18 17:15:42,265 ms,0.247,19.4,1.0,629,0.194,30.0,0.0,2.0,31.5
2022-04-18 17:15:43,265 ms,0.247,19.4,0.966,629,0.194,30.0,0.5,2.0,31.5
2022-04-18 17:15:44,318 ms,0.247,19.4,1.03,629,0.194,30.0,1.0,2.0,31.5
2022-04-18 17:15:45,318 ms,0.235,20.3,1.0,668,0.203,30.0,0.0,2.0,33.4
2022-04-18 17:15:46,333 ms,0.235,20.3,1.0,668,0.203,30.0,0.0,2.0,33.4
2022-04-18 17:15:47,333 ms,0.235,20.3,1.03,668,0.203,30.0,1.0,2.0,33.4
2022-04-18 17:15:48,321 ms,0.235,20.3,1.03,668,0.203,30.0,0.0,2.0,33.4
2022-04-18 17:15:49,321 ms,0.235,20.3,1.07,668,0.203,30.0,1.5,2.0,33.4
2022-04-18 17:15:50,340 ms,0.235,20.3,1.07,668,0.203,30.0,0.5,2.0,33.4
2022-04-18 17:15:51,340 ms,0.235,20.3,1.14,668,0.203,30.0,1.0,2.0,33.4
2022-04-18 17:15:52,348 ms,0.235,20.3,1.17,668,0.203,30.0,1.0,2.0,33.4
2022-04-18 17:15:53,348 ms,0.235,20.3,1.1,668,0.203,30.0,0.5,2.0,33.4
2022-04-18 17:15:54,324 ms,0.235,20.3,1.1,668,0.203,30.0,0.5,2.0,33.4
2022-04-18 17:15:55,324 ms,0.235,20.3,1.14,668,0.203,30.0,0.5,2.0,33.4
2022-04-18 17:15:56,330 ms,0.235,20.3,1.1,668,0.203,30.0,0.0,2.0,33.4
2022-04-18 17:15:57,330 ms,0.235,20.3,1.14,668,0.203,30.0,1.0,2.0,33.4
2022-04-18 17:15:58,312 ms,0.235,20.3,1.1,668,0.203,30.0,0.0,2.0,33.4
2022-04-18 17:15:59,312 ms,0.235,20.3,1.1,668,0.203,30.0,0.5,2.0,33.4
2022-04-18 17:16:00,272 ms,0.235,20.3,1.14,668,0.203,34.0,0.5,2.0,33.4
2022-04-18 17:16:01,272 ms,0.235,20.3,1.03,668,0.203,34.0,0.5,2.0,33.4
2022-04-18 17:16:02,349 ms,0.235,20.3,1.03,668,0.203,34.0,0.5,2.0,33.4
2022-04-18 17:16:03,349 ms,0.235,20.3,1.14,668,0.203,34.0,1.5,2.0,33.4
2022-04-18 17:16:04,350 ms,0.235,20.3,1.07,668,0.203,34.0,0.0,2.0,33.4
2022-04-18 17:16:05,350 ms,0.235,20.3,1.07,668,0.203,34.0,0.5,2.0,33.4
2022-04-18 17:16:06,356 ms,0.235,20.3,1.14,668,0.203,34.0,1.0,2.0,33.4
2022-04-18 17:16:07,356 ms,0.235,20.3,1.21,668,0.203,34.0,1.0,2.0,33.4
2022-04-18 17:16:08,338 ms,0.235,20.3,1.21,668,0.203,34.0,0.5,2.0,33.4
2022-04-18 17:16:09,338 ms,0.235,20.3,1.14,668,0.203,34.0,0.5,2.0,33.4
2022-04-18 17:16:10,280 ms,0.235,20.3,1.1,668,0.203,34.0,0.0,2.0,33.4
2022-04-18 17:16:11,280 ms,0.235,20.3,1.17,668,0.203,34.0,1.0,2.0,33.4
2022-04-18 17:16:12,270 ms,0.235,20.3,1.21,668,0.203,34.0,1.0,2.0,33.4
2022-04-18 17:16:13,270 ms,0.235,20.3,1.14,668,0.203,34.0,0.0,2.0,33.4
2022-04-18 17:16:14,269 ms,0.235,20.3,1.14,668,0.203,34.0,0.0,2.0,33.4
2022-04-18 17:16:15,269 ms,0.358,28.3,1.21,602,0.283,36.0,1.0,2.0,30.1
2022-04-18 17:16:16,323 ms,0.358,28.3,1.14,602,0.283,36.0,0.0,2.0,30.1
2022-04-18 17:16:17,323 ms,0.358,28.3,1.14,602,0.283,36.0,0.0,2.0,30.1
2022-04-18 17:16:18,312 ms,0.358,28.3,1.03,602,0.283,36.0,0.0,2.0,30.1
2022-04-18 17:16:19,312 ms,0.358,28.3,1.0,602,0.283,36.0,0.0,2.0,30.1
2022-04-18 17:16:20,317 ms,0.358,28.3,1.0,602,0.283,36.0,1.0,2.0,30.1
2022-04-18 17:16:21,317 ms,0.358,28.3,0.931,602,0.283,36.0,0.0,2.0,30.1
2022-04-18 17:16:22,333 ms,0.358,28.3,0.931,602,0.283,36.0,0.5,2.0,30.1
2022-04-18 17:16:23,333 ms,0.358,28.3,0.897,602,0.283,36.0,0.0,2.0,30.1
2022-04-18 17:16:24,277 ms,0.358,28.3,0.862,602,0.283,36.0,0.0,2.0,30.1
2022-04-18 17:16:25,277 ms,0.358,28.3,0.931,602,0.283,36.0,1.0,2.0,30.1
2022-04-18 17:16:26,271 ms,0.358,28.3,0.862,602,0.283,36.0,0.0,2.0,30.1
2022-04-18 17:16:27,271 ms,0.358,28.3,0.897,602,0.283,36.0,0.499,2.0,30.1
2022-04-18 17:16:28,268 ms,0.358,28.3,0.862,602,0.283,36.0,0.0,2.0,30.1
2022-04-18 17:16:29,268 ms,0.358,28.3,0.862,602,0.283,36.0,0.5,2.0,30.1
2022-04-18 17:16:30,286 ms,0.358,28.3,1.0,602,0.283,30.0,2.5,2.0,30.1
2022-04-18 17:16:31,286 ms,0.358,28.3,0.966,602,0.283,30.0,0.0,2.0,30.1
2022-04-18 17:16:32,277 ms,0.358,28.3,0.931,602,0.283,30.0,1.0,2.0,30.1
2022-04-18 17:16:33,277 ms,0.358,28.3,1.03,602,0.283,30.0,1.5,2.0,30.1
2022-04-18 17:16:34,276 ms,0.358,28.3,1.0,602,0.283,30.0,0.0,2.0,30.1
2022-04-18 17:16:35,276 ms,0.358,28.3,1.0,602,0.283,30.0,1.0,2.0,30.1
2022-04-18 17:16:36,255 ms,0.358,28.3,0.966,602,0.283,30.0,0.5,2.0,30.1
2022-04-18 17:16:37,255 ms,0.358,28.3,1.03,602,0.283,30.0,1.5,2.0,30.1
2022-04-18 17:16:38,250 ms,0.358,28.3,1.0,602,0.283,30.0,0.0,2.0,30.1
2022-04-18 17:16:39,250 ms,0.358,28.3,1.07,602,0.283,30.0,1.0,2.0,30.1
2022-04-18 17:16:40,495 ms,0.358,28.3,1.1,602,0.283,30.0,1.5,2.0,30.1
2022-04-18 17:16:41,495 ms,0.358,28.3,1.1,602,0.283,30.0,1.0,2.0,30.1
2022-04-18 17:16:42,508 ms,0.358,28.3,1.1,602,0.283,30.0,0.0,2.0,30.1
2022-04-18 17:16:43,508 ms,0.358,28.3,1.14,602,0.283,30.0,0.5,2.0,30.1
2022-04-18 17:16:44,552 ms,0.358,28.3,1.07,602,0.283,30.0,0.0,2.0,30.1
2022-04-18 17:16:45,552 ms,0.136,15.1,1.17,590,0.151,35.0,1.5,2.0,29.5
2022-04-18 17:16:46,552 ms,0.136,15.1,1.21,590,0.151,35.0,0.5,2.0,29.5
2022-04-18 17:16:47,552 ms,0.136,15.1,1.28,590,0.151,35.0,1.0,2.0,29.5
2022-04-18 17:16:48,462 ms,0.136,15.1,1.28,590,0.151,35.0,0.0,2.0,29.5
2022-04-18 17:16:49,462 ms,0.136,15.1,1.24,590,0.151,35.0,0.5,2.0,29.5
2022-04-18 17:16:50,279 ms,0.136,15.1,1.24,590,0.151,35.0,0.0,2.0,29.5
2022-04-18 17:16:51,279 ms,0.136,15.1,1.24,590,0.151,35.0,0.5,2.0,29.5
2022-04-18 17:16:52,268 ms,0.136,15.1,1.31,590,0.151,35.0,1.0,2.0,29.5
2022-04-18 17:16:53,268 ms,0.136,15.1,1.34,590,0.151,35.0,0.5,2.0,29.5
2022-04-18 17:16:54,256 ms,0.136,15.1,1.31,590,0.151,35.0,0.5,2.0,29.5
2022-04-18 17:16:55,256 ms,0.136,15.1,1.31,590,0.151,35.0,0.0,2.0,29.5
2022-04-18 17:16:56,258 ms,0.136,15.1,1.28,590,0.151,35.0,0.0,2.0,29.5
2022-04-18 17:16:57,258 ms,0.136,15.1,1.34,590,0.151,35.0,1.0,2.0,29.5
2022-04-18 17:16:58,300 ms,0.136,15.1,1.38,590,0.151,35.0,1.0,2.0,29.5
2022-04-18 17:16:59,300 ms,0.136,15.1,1.21,590,0.151,35.0,0.0,2.0,29.5
2022-04-18 17:17:00,306 ms,0.136,15.1,1.24,590,0.151,37.0,0.504,2.0,29.5
2022-04-18 17:17:01,306 ms,0.136,15.1,1.17,590,0.151,37.0,0.0,2.0,29.5
2022-04-18 17:17:02,321 ms,0.136,15.1,1.07,590,0.151,37.0,0.0,2.0,29.5
2022-04-18 17:17:03,321 ms,0.136,15.1,1.07,590,0.151,37.0,0.0,2.0,29.5
2022-04-18 17:17:04,376 ms,0.136,15.1,1.0,590,0.151,37.0,0.0,2.0,29.5
2022-04-18 17:17:05,376 ms,0.136,15.1,0.966,590,0.151,37.0,0.0,2.0,29.5
2022-04-18 17:17:06,322 ms,0.136,15.1,0.931,590,0.151,37.0,1.0,2.0,29.5
2022-04-18 17:17:07,322 ms,0.136,15.1,1.03,590,0.151,37.0,1.5,2.0,29.5
2022-04-18 17:17:08,361 ms,0.136,15.1,0.966,590,0.151,37.0,0.0,2.0,29.5
2022-04-18 17:17:09,361 ms,0.136,15.1,0.897,590,0.151,37.0,0.5,2.0,29.5
2022-04-18 17:17:10,376 ms,0.136,15.1,0.828,590,0.151,37.0,0.0,2.0,29.5
2022-04-18 17:17:11,376 ms,0.136,15.1,0.862,590,0.151,37.0,0.5,2.0,29.5
2022-04-18 17:17:12,344 ms,0.136,15.1,0.862,590,0.151,37.0,0.5,2.0,29.5
2022-04-18 17:17:13,344 ms,0.136,15.1,0.897,590,0.151,37.0,0.5,2.0,29.5
2022-04-18 17:17:14,320 ms,0.136,15.1,0.828,590,0.151,37.0,0.5,2.0,29.5
2022-04-18 17:17:15,320 ms,0.32,25.6,0.793,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:16,257 ms,0.32,25.6,0.724,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:17,257 ms,0.32,25.6,0.724,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:18,252 ms,0.32,25.6,0.69,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:19,252 ms,0.32,25.6,0.724,577,0.256,24.0,0.5,2.0,28.9
2022-04-18 17:17:20,242 ms,0.32,25.6,0.69,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:21,242 ms,0.32,25.6,0.655,577,0.256,24.0,0.5,2.0,28.9
2022-04-18 17:17:22,234 ms,0.32,25.6,0.655,577,0.256,24.0,0.5,2.0,28.9
2022-04-18 17:17:23,234 ms,0.32,25.6,0.621,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:24,229 ms,0.32,25.6,0.621,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:25,229 ms,0.32,25.6,0.621,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:26,229 ms,0.32,25.6,0.552,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:27,229 ms,0.32,25.6,0.483,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:28,229 ms,0.32,25.6,0.552,577,0.256,24.0,1.0,2.0,28.9
2022-04-18 17:17:29,229 ms,0.32,25.6,0.517,577,0.256,24.0,0.0,2.0,28.9
2022-04-18 17:17:30,484 ms,0.32,25.6,0.655,577,0.256,20.0,2.0,2.0,28.9
2022-04-18 17:17:31,484 ms,0.32,25.6,0.655,577,0.256,20.0,0.0,2.0,28.9
2022-04-18 17:17:32,492 ms,0.32,25.6,0.69,577,0.256,20.0,0.5,2.0,28.9
2022-04-18 17:17:33,492 ms,0.32,25.6,0.759,577,0.256,20.0,1.0,2.0,28.9
2022-04-18 17:17:34,397 ms,0.32,25.6,0.862,577,0.256,20.0,1.5,2.0,28.9
2022-04-18 17:17:35,397 ms,0.32,25.6,0.793,577,0.256,20.0,0.0,2.0,28.9
2022-04-18 17:17:36,377 ms,0.32,25.6,0.724,577,0.256,20.0,0.5,2.0,28.9
2022-04-18 17:17:37,377 ms,0.32,25.6,0.828,577,0.256,20.0,1.5,2.0,28.9
2022-04-18 17:17:38,315 ms,0.32,25.6,0.828,577,0.256,20.0,0.5,2.0,28.9
2022-04-18 17:17:39,315 ms,0.32,25.6,0.828,577,0.256,20.0,0.0,2.0,28.9
2022-04-18 17:17:40,268 ms,0.32,25.6,0.862,577,0.256,20.0,1.0,2.0,28.9
2022-04-18 17:17:41,268 ms,0.32,25.6,0.897,577,0.256,20.0,1.0,2.0,28.9
2022-04-18 17:17:42,276 ms,0.32,25.6,0.862,577,0.256,20.0,0.0,2.0,28.9
2022-04-18 17:17:43,276 ms,0.32,25.6,0.828,577,0.256,20.0,0.0,2.0,28.9
2022-04-18 17:17:44,289 ms,0.32,25.6,0.862,577,0.256,20.0,0.5,2.0,28.9
2022-04-18 17:17:45,289 ms,0.242,16.0,0.862,689,0.16,26.0,0.0,2.0,34.5
2022-04-18 17:17:46,319 ms,0.242,16.0,0.931,689,0.16,26.0,1.0,2.0,34.5
2022-04-18 17:17:47,319 ms,0.242,16.0,0.931,689,0.16,26.0,0.0,2.0,34.5
2022-04-18 17:17:48,314 ms,0.242,16.0,0.897,689,0.16,26.0,0.0,2.0,34.5
2022-04-18 17:17:49,314 ms,0.242,16.0,0.897,689,0.16,26.0,0.0,2.0,34.5
2022-04-18 17:17:50,249 ms,0.242,16.0,0.897,689,0.16,26.0,0.5,2.0,34.5
2022-04-18 17:17:51,249 ms,0.242,16.0,0.897,689,0.16,26.0,0.5,2.0,34.5
2022-04-18 17:17:52,251 ms,0.242,16.0,0.897,689,0.16,26.0,0.0,2.0,34.5
2022-04-18 17:17:53,251 ms,0.242,16.0,0.966,689,0.16,26.0,1.0,2.0,34.5
2022-04-18 17:17:54,283 ms,0.242,16.0,1.0,689,0.16,26.0,0.5,2.0,34.5
2022-04-18 17:17:55,283 ms,0.242,16.0,1.0,689,0.16,26.0,0.0,2.0,34.5
2022-04-18 17:17:56,308 ms,0.242,16.0,1.0,689,0.16,26.0,0.0,2.0,34.5
2022-04-18 17:17:57,308 ms,0.242,16.0,0.931,689,0.16,26.0,0.0,2.0,34.5
2022-04-18 17:17:58,308 ms,0.242,16.0,0.931,689,0.16,26.0,0.0,2.0,34.5
2022-04-18 17:17:59,308 ms,0.242,16.0,0.828,689,0.16,26.0,0.5,2.0,34.5
2022-04-18 17:18:00,309 ms,0.242,16.0,0.931,689,0.16,28.0,1.5,2.0,34.5
2022-04-18 17:18:01,309 ms,0.242,16.0,0.897,689,0.16,28.0,0.0,2.0,34.5
2022-04-18 17:18:02,309 ms,0.242,16.0,0.828,689,0.16,28.0,0.0,2.0,34.5
2022-04-18 17:18:03,309 ms,0.242,16.0,0.724,689,0.16,28.0,0.0,2.0,34.5
2022-04-18 17:18:04,298 ms,0.242,16.0,0.759,689,0.16,28.0,0.497,2.0,34.5
2022-04-18 17:18:05,298 ms,0.242,16.0,0.724,689,0.16,28.0,0.0,2.0,34.5
2022-04-18 17:18:06,304 ms,0.242,16.0,0.655,689,0.16,28.0,0.5,2.0,34.5
2022-04-18 17:18:07,304 ms,0.242,16.0,0.621,689,0.16,28.0,0.0,2.0,34.5
2022-04-18 17:18:08,325 ms,0.242,16.0,0.621,689,0.16,28.0,0.0,2.0,34.5
2022-04-18 17:18:09,325 ms,0.242,16.0,0.621,689,0.16,28.0,1.0,2.0,34.5
2022-04-18 17:18:10,272 ms,0.242,16.0,0.586,689,0.16,28.0,0.5,2.0,34.5
2022-04-18 17:18:11,272 ms,0.242,16.0,0.655,689,0.16,28.0,1.0,2.0,34.5
2022-04-18 17:18:12,268 ms,0.242,16.0,0.69,689,0.16,28.0,0.5,2.0,34.5
2022-04-18 17:18:13,268 ms,0.242,16.0,0.655,689,0.16,28.0,0.0,2.0,34.5
2022-04-18 17:18:14,275 ms,0.242,16.0,0.724,689,0.16,28.0,1.0,2.0,34.5
2022-04-18 17:18:15,275 ms,0.253,20.3,0.655,563,0.203,20.0,0.0,2.0,28.2
2022-04-18 17:18:16,278 ms,0.253,20.3,0.655,563,0.203,20.0,0.0,2.0,28.2
2022-04-18 17:18:17,278 ms,0.253,20.3,0.69,563,0.203,20.0,0.5,2.0,28.2
2022-04-18 17:18:18,318 ms,0.253,20.3,0.724,563,0.203,20.0,0.5,2.0,28.2
2022-04-18 17:18:19,318 ms,0.253,20.3,0.724,563,0.203,20.0,0.499,2.0,28.2
2022-04-18 17:18:20,289 ms,0.253,20.3,0.724,563,0.203,20.0,0.502,2.0,28.2
2022-04-18 17:18:21,289 ms,0.253,20.3,0.759,563,0.203,20.0,0.5,2.0,28.2
2022-04-18 17:18:22,283 ms,0.253,20.3,0.69,563,0.203,20.0,0.0,2.0,28.2
2022-04-18 17:18:23,283 ms,0.253,20.3,0.724,563,0.203,20.0,1.0,2.0,28.2
2022-04-18 17:18:24,274 ms,0.253,20.3,0.759,563,0.203,20.0,0.5,2.0,28.2
2022-04-18 17:18:25,274 ms,0.253,20.3,0.759,563,0.203,20.0,0.0,2.0,28.2
2022-04-18 17:18:26,281 ms,0.253,20.3,0.759,563,0.203,20.0,0.0,2.0,28.2
2022-04-18 17:18:27,281 ms,0.253,20.3,0.827,563,0.203,20.0,0.996,2.0,28.2
2022-04-18 17:18:28,276 ms,0.253,20.3,0.862,563,0.203,20.0,1.0,2.0,28.2
2022-04-18 17:18:29,276 ms,0.253,20.3,0.759,563,0.203,20.0,0.0,2.0,28.2
2022-04-18 17:18:30,287 ms,0.253,20.3,0.793,563,0.203,24.0,0.5,2.0,28.2
2022-04-18 17:18:31,287 ms,0.253,20.3,0.793,563,0.203,24.0,0.0,2.0,28.2
2022-04-18 17:18:32,298 ms,0.253,20.3,0.793,563,0.203,24.0,0.0,2.0,28.2
2022-04-18 17:18:33,298 ms,0.253,20.3,0.793,563,0.203,24.0,0.5,2.0,28.2
2022-04-18 17:18:34,302 ms,0.253,20.3,0.793,563,0.203,24.0,0.0,2.0,28.2
2022-04-18 17:18:35,302 ms,0.253,20.3,0.793,563,0.203,24.0,0.5,2.0,28.2
2022-04-18 17:18:36,322 ms,0.253,20.3,0.793,563,0.203,24.0,0.0,2.0,28.2
2022-04-18 17:18:37,322 ms,0.253,20.3,0.828,563,0.203,24.0,0.5,2.0,28.2
2022-04-18 17:18:38,314 ms,0.253,20.3,0.828,563,0.203,24.0,1.0,2.0,28.2
2022-04-18 17:18:39,314 ms,0.253,20.3,0.793,563,0.203,24.0,0.0,2.0,28.2
2022-04-18 17:18:40,266 ms,0.253,20.3,0.724,563,0.203,24.0,0.0,2.0,28.2
2022-04-18 17:18:41,266 ms,0.253,20.3,0.724,563,0.203,24.0,0.5,2.0,28.2
2022-04-18 17:18:42,266 ms,0.253,20.3,0.724,563,0.203,24.0,0.0,2.0,28.2
2022-04-18 17:18:43,266 ms,0.253,20.3,0.655,563,0.203,24.0,0.0,2.0,28.2
2022-04-18 17:18:44,266 ms,0.253,20.3,0.655,563,0.203,24.0,0.0,2.0,28.2
2022-04-18 17:18:45,266 ms,0.118,14.6,0.69,666,0.146,21.0,0.5,2.0,33.3
2022-04-18 17:18:46,299 ms,0.118,14.6,0.724,666,0.146,21.0,1.0,2.0,33.3
2022-04-18 17:18:47,299 ms,0.118,14.6,0.724,666,0.146,21.0,0.5,2.0,33.3
2022-04-18 17:18:48,282 ms,0.118,14.6,0.759,666,0.146,21.0,1.0,2.0,33.3
2022-04-18 17:18:49,282 ms,0.118,14.6,0.759,666,0.146,21.0,0.5,2.0,33.3
2022-04-18 17:18:50,289 ms,0.118,14.6,0.724,666,0.146,21.0,0.0,2.0,33.3
2022-04-18 17:18:51,289 ms,0.118,14.6,0.759,666,0.146,21.0,0.5,2.0,33.3
2022-04-18 17:18:52,284 ms,0.118,14.6,0.69,666,0.146,21.0,0.0,2.0,33.3
2022-04-18 17:18:53,284 ms,0.118,14.6,0.655,666,0.146,21.0,0.0,2.0,33.3
2022-04-18 17:18:54,263 ms,0.118,14.6,0.655,666,0.146,21.0,0.0,2.0,33.3
2022-04-18 17:18:55,263 ms,0.118,14.6,0.655,666,0.146,21.0,0.0,2.0,33.3
2022-04-18 17:18:56,259 ms,0.118,14.6,0.586,666,0.146,21.0,0.0,2.0,33.3
2022-04-18 17:18:57,259 ms,0.118,14.6,0.517,666,0.146,21.0,0.0,2.0,33.3
2022-04-18 17:18:58,257 ms,0.118,14.6,0.552,666,0.146,21.0,0.5,2.0,33.3
2022-04-18 17:18:59,257 ms,0.118,14.6,0.552,666,0.146,21.0,0.5,2.0,33.3
2022-04-18 17:19:00,257 ms,0.118,14.6,0.552,666,0.146,17.0,0.0,2.0,33.3
2022-04-18 17:19:01,257 ms,0.118,14.6,0.586,666,0.146,17.0,0.5,2.0,33.3
2022-04-18 17:19:02,282 ms,0.118,14.6,0.621,666,0.146,17.0,1.0,2.0,33.3
2022-04-18 17:19:03,282 ms,0.118,14.6,0.655,666,0.146,17.0,0.5,2.0,33.3
2022-04-18 17:19:04,279 ms,0.118,14.6,0.621,666,0.146,17.0,0.0,2.0,33.3
2022-04-18 17:19:05,279 ms,0.118,14.6,0.655,666,0.146,17.0,0.5,2.0,33.3
2022-04-18 17:19:06,278 ms,0.118,14.6,0.621,666,0.146,17.0,0.0,2.0,33.3
2022-04-18 17:19:07,278 ms,0.118,14.6,0.655,666,0.146,17.0,1.5,2.0,33.3
2022-04-18 17:19:08,263 ms,0.118,14.6,0.655,666,0.146,17.0,0.0,2.0,33.3
2022-04-18 17:19:09,263 ms,0.118,14.6,0.69,666,0.146,17.0,0.5,2.0,33.3
2022-04-18 17:19:10,264 ms,0.118,14.6,0.655,666,0.146,17.0,0.0,2.0,33.3
2022-04-18 17:19:11,264 ms,0.118,14.6,0.724,666,0.146,17.0,1.0,2.0,33.3
2022-04-18 17:19:12,318 ms,0.118,14.6,0.759,666,0.146,17.0,0.5,2.0,33.3
2022-04-18 17:19:13,318 ms,0.118,14.6,0.793,666,0.146,17.0,0.5,2.0,33.3
2022-04-18 17:19:14,349 ms,0.118,14.6,0.828,666,0.146,17.0,1.0,2.0,33.3
2022-04-18 17:19:15,349 ms,0.259,20.8,0.828,620,0.208,25.0,1.0,2.0,31.0
2022-04-18 17:19:16,380 ms,0.259,20.8,0.793,620,0.208,25.0,0.0,2.0,31.0
2022-04-18 17:19:17,380 ms,0.259,20.8,0.724,620,0.208,25.0,0.0,2.0,31.0
2022-04-18 17:19:18,376 ms,0.259,20.8,0.724,620,0.208,25.0,0.5,2.0,31.0
2022-04-18 17:19:19,376 ms,0.259,20.8,0.724,620,0.208,25.0,0.0,2.0,31.0
2022-04-18 17:19:20,366 ms,0.259,20.8,0.758,620,0.208,25.0,0.985,2.0,31.0
2022-04-18 17:19:21,366 ms,0.259,20.8,0.862,620,0.208,25.0,1.52,2.0,31.0
2022-04-18 17:19:22,388 ms,0.259,20.8,0.897,620,0.208,25.0,0.5,2.0,31.0
2022-04-18 17:19:23,388 ms,0.259,20.8,0.931,620,0.208,25.0,0.5,2.0,31.0
2022-04-18 17:19:24,386 ms,0.259,20.8,0.966,620,0.208,25.0,0.5,2.0,31.0
2022-04-18 17:19:25,386 ms,0.259,20.8,1.03,620,0.208,25.0,1.0,2.0,31.0
2022-04-18 17:19:26,369 ms,0.259,20.8,1.03,620,0.208,25.0,0.0,2.0,31.0
2022-04-18 17:19:27,369 ms,0.259,20.8,1.03,620,0.208,25.0,0.5,2.0,31.0
2022-04-18 17:19:28,355 ms,0.259,20.8,1.07,620,0.208,25.0,1.0,2.0,31.0
2022-04-18 17:19:29,355 ms,0.259,20.8,1.1,620,0.208,25.0,0.5,2.0,31.0
2022-04-18 17:19:30,293 ms,0.259,20.8,1.1,620,0.208,33.0,0.5,2.0,31.0
2022-04-18 17:19:31,293 ms,0.259,20.8,1.07,620,0.208,33.0,0.5,2.0,31.0
2022-04-18 17:19:32,272 ms,0.259,20.8,1.1,620,0.208,33.0,1.0,2.0,31.0
2022-04-18 17:19:33,272 ms,0.259,20.8,1.1,620,0.208,33.0,0.0,2.0,31.0
